"","FID","CODDIS","NOMDIS","COD_BAR","NOMBRE","COD_DIS_TX","BARRIO_MAY","COD_DISBAR","NUM_BAR","BARRIO_MT","COD_DISB","FID"
"75",75,12,"Usera",122,"Orcasur",12,"ORCASUR",122,2,"ORCASUR","12-feb",75
"76",76,12,"Usera",126,"Zofío",12,"ZOFIO",126,6,"ZOFÍO","12-jun",76
"77",77,12,"Usera",127,"Pradolongo",12,"PRADOLONGO",127,7,"PRADOLONGO","12-jul",77
"78",78,12,"Usera",124,"Almendrales",12,"ALMENDRALES",124,4,"ALMENDRALES","12-abr",78
"79",79,12,"Usera",125,"Moscardó",12,"MOSCARDO",125,5,"MOSCARDÓ","12-may",79
"80",80,13,"Puente de Vallecas",131,"Entrevías",13,"ENTREVIAS",131,1,"ENTREVÍAS","13-ene",80
"81",81,13,"Puente de Vallecas",134,"Palomeras Sureste",13,"PALOMERAS SURESTE",134,4,"PALOMERAS SURESTE","13-abr",81
"82",82,13,"Puente de Vallecas",133,"Palomeras Bajas",13,"PALOMERAS BAJAS",133,3,"PALOMERAS BAJAS","13-mar",82
"83",83,13,"Puente de Vallecas",132,"San Diego",13,"SAN DIEGO",132,2,"SAN DIEGO","13-feb",83
"84",84,13,"Puente de Vallecas",135,"Portazgo",13,"PORTAZGO",135,5,"PORTAZGO","13-may",84
"85",85,13,"Puente de Vallecas",136,"Numancia",13,"NUMANCIA",136,6,"NUMANCIA","13-jun",85
"86",86,14,"Moratalaz",141,"Pavones",14,"PAVONES",141,1,"PAVONES","14-ene",86
"87",87,14,"Moratalaz",145,"Fontarrón",14,"FONTARRON",145,5,"FONTARRÓN","14-may",87
"88",88,14,"Moratalaz",146,"Vinateros",14,"VINATEROS",146,6,"VINATEROS","14-jun",88
"89",89,14,"Moratalaz",142,"Horcajo",14,"HORCAJO",142,2,"HORCAJO","14-feb",89
"90",90,14,"Moratalaz",143,"Marroquina",14,"MARROQUINA",143,3,"MARROQUINA","14-mar",90
"91",91,14,"Moratalaz",144,"Media Legua",14,"MEDIA LEGUA",144,4,"MEDIA LEGUA","14-abr",91
"92",92,15,"Ciudad Lineal",151,"Ventas",15,"VENTAS",151,1,"VENTAS","15-ene",92
"93",93,15,"Ciudad Lineal",152,"Pueblo Nuevo",15,"PUEBLO NUEVO",152,2,"PUEBLO NUEVO","15-feb",93
"94",94,15,"Ciudad Lineal",153,"Quintana",15,"QUINTANA",153,3,"QUINTANA","15-mar",94
"95",95,15,"Ciudad Lineal",154,"La Concepción",15,"LA CONCEPCION",154,4,"LA CONCEPCIÓN","15-abr",95
"96",96,15,"Ciudad Lineal",155,"San Pascual",15,"SAN PASCUAL",155,5,"SAN PASCUAL","15-may",96
"97",97,15,"Ciudad Lineal",156,"San Juan Bautista",15,"SAN JUAN BAUTISTA",156,6,"SAN JUAN BAUTISTA","15-jun",97
"98",98,15,"Ciudad Lineal",157,"Colina",15,"COLINA",157,7,"COLINA","15-jul",98
"99",99,15,"Ciudad Lineal",158,"Atalaya",15,"ATALAYA",158,8,"ATALAYA","15-ago",99
"100",100,15,"Ciudad Lineal",159,"Costillares",15,"COSTILLARES",159,9,"COSTILLARES","15-sep",100
"101",101,16,"Hortaleza",161,"Palomas",16,"PALOMAS",161,1,"PALOMAS","16-ene",101
"102",102,16,"Hortaleza",162,"Piovera",16,"PIOVERA",162,2,"PIOVERA","16-feb",102
"103",103,16,"Hortaleza",163,"Canillas",16,"CANILLAS",163,3,"CANILLAS","16-mar",103
"104",104,16,"Hortaleza",164,"Pinar del Rey",16,"PINAR DEL REY",164,4,"PINAR DEL REY","16-abr",104
"105",105,16,"Hortaleza",165,"Apóstol Santiago",16,"APOSTOL SANTIAGO",165,5,"APÓSTOL SANTIAGO","16-may",105
"106",106,16,"Hortaleza",166,"Valdefuentes",16,"VALDEFUENTES",166,6,"VALDEFUENTES","16-jun",106
"107",107,17,"Villaverde",172,"San Cristóbal",17,"SAN CRISTOBAL",172,2,"SAN CRISTÓBAL","17-feb",107
"108",108,17,"Villaverde",173,"Butarque",17,"BUTARQUE",173,3,"BUTARQUE","17-mar",108
"109",109,17,"Villaverde",175,"Ángeles",17,"ANGELES",175,5,"ÁNGELES","17-may",109
"110",110,17,"Villaverde",174,"Los Rosales",17,"LOS ROSALES",174,4,"LOS ROSALES","17-abr",110
"111",111,17,"Villaverde",171,"Villaverde Alto - Casco Histórico de Villaverde",17,"VILLAVERDE ALTO - CASCO HISTORICO DE VILLAVERDE",171,1,"VILLAVERDE ALTO - CASCO HISTÓRICO DE VILLAVERDE","17-ene",111
"112",112,18,"Villa de Vallecas",183,"Ensanche de Vallecas",18,"ENSANCHE DE VALLECAS",183,3,"ENSANCHE DE VALLECAS","18-mar",112
"113",113,18,"Villa de Vallecas",181,"Casco Histórico de Vallecas",18,"CASCO HISTORICO DE VALLECAS",181,1,"CASCO HISTÓRICO DE VALLECAS","18-ene",113
"114",114,18,"Villa de Vallecas",182,"Santa Eugenia",18,"SANTA EUGENIA",182,2,"SANTA EUGENIA","18-feb",114
"115",115,19,"Vicálvaro",193,"Valderrivas",19,"VALDERRIVAS",193,3,"VALDERRIVAS","19-mar",115
"116",116,19,"Vicálvaro",192,"Valdebernardo",19,"VALDEBERNARDO",192,2,"VALDEBERNARDO","19-feb",116
"117",117,19,"Vicálvaro",191,"Casco Histórico de Vicálvaro",19,"CASCO HISTORICO DE VICALVARO",191,1,"CASCO HISTÓRICO DE VICÁLVARO","19-ene",117
"118",118,19,"Vicálvaro",194,"El Cañaveral",19,"EL CAÑAVERAL",194,4,"EL CAÑAVERAL","19-abr",118
"119",119,20,"San Blas - Canillejas",204,"Arcos",20,"ARCOS",204,4,"ARCOS","20-abr",119
"120",120,20,"San Blas - Canillejas",203,"Amposta",20,"AMPOSTA",203,3,"AMPOSTA","20-mar",120
"121",121,20,"San Blas - Canillejas",202,"Hellín",20,"HELLIN",202,2,"HELLÍN","20-feb",121
"122",122,20,"San Blas - Canillejas",201,"Simancas",20,"SIMANCAS",201,1,"SIMANCAS","20-ene",122
"123",123,20,"San Blas - Canillejas",207,"Canillejas",20,"CANILLEJAS",207,7,"CANILLEJAS","20-jul",123
"124",124,20,"San Blas - Canillejas",205,"Rosas",20,"ROSAS",205,5,"ROSAS","20-may",124
"125",125,20,"San Blas - Canillejas",208,"El Salvador",20,"EL SALVADOR",208,8,"EL SALVADOR","20-ago",125
"126",126,20,"San Blas - Canillejas",206,"Rejas",20,"REJAS",206,6,"REJAS","20-jun",126
"127",127,21,"Barajas",211,"Alameda de Osuna",21,"ALAMEDA DE OSUNA",211,1,"ALAMEDA DE OSUNA","21-ene",127
"128",128,21,"Barajas",215,"Corralejos",21,"CORRALEJOS",215,5,"CORRALEJOS","21-may",128
"129",129,21,"Barajas",213,"Casco Histórico de Barajas",21,"CASCO HISTORICO DE BARAJAS",213,3,"CASCO HISTÓRICO DE BARAJAS","21-mar",129
"130",130,21,"Barajas",214,"Timón",21,"TIMON",214,4,"TIMÓN","21-abr",130
"131",131,21,"Barajas",212,"Aeropuerto",21,"AEROPUERTO",212,2,"AEROPUERTO","21-feb",131
